Location ID,Custom Label,Location Name,Latitude/Longitude,Owned by Current Organization,Owned By,Shared With,Devices,Other Devices,Licenses,Alert Status,Alerts,Created In
"87dde73f-7309-414d-bbcf-a30c2149108f",,"SR 90 and Penn Avenue","{""lng"":-85.250084,""lat"":30.784243}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"95ea0bea-c4cb-4139-b66b-c52e87d335ab",,"SR 90 and Smith Street","{""lng"":-85.24180319,""lat"":30.78079995}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF","TrafficLink"
"b3096bf4-d6eb-47d8-aeff-a8fb8c8fc01d",,"SR-79 at CR-284 (New Hope Washout)","{""lng"":-85.52602073,""lat"":30.7802366}",true,"Ingram Signalization Inc.","","SMARTLINK;THIRD_PARTY_CAMERA",0,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF","TrafficLink"
"cf66776c-8e3d-4133-ad83-6f547700fdf4",,"US 231 @ QT","{""lng"":-85.37935,""lat"":30.757986}",true,"Ingram Signalization Inc.","","CORE;THIRD_PARTY_CAMERA",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"0b6340c9-3ead-45db-b5c7-92fa0b96f687",,"US 231 and Dilmore Rd","{""lng"":-85.383644,""lat"":30.74846}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"095fb93f-fccb-4e85-83c0-ae5732c9a32e",,"US 231 and I-10 EB Off Ramp","{""lng"":-85.38228,""lat"":30.75179}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"62ada43d-6f67-4bda-aa1c-c4969420b422",,"US 231 and I-10 WB Off Ramp","{""lng"":-85.38096452,""lat"":30.75525498}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","PERIPHERAL_UNAVAILABLE;TELEMETRY_UNAVAILABLE","TrafficLink"
"fb828421-a55d-4f51-91d1-51b8fcaafd4b",,"US 319 and East Ivan Road","{""lng"":-84.36238303,""lat"":30.22369625}",true,"Ingram Signalization Inc.","","CORE_DCM;SMARTLINK",0,"DETECTION;INTERSECTION_MONITORING;MOBILITY_REPORTS","CRITICAL","POWER_OFF","TrafficLink"
"756731e7-6a91-4499-9617-2df06d11177f",,"US 90 and Old Bethel Rd/Enzor Rd","{""lng"":-86.59717872,""lat"":30.76503229}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"82836953-8343-45a7-9912-e024c0803e9f",,"US 90 and SR 79","{""lng"":-85.67963,""lat"":30.78805}",true,"Ingram Signalization Inc.","","SMARTLINK;THIRD_PARTY_CAMERA",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"b608dfb2-2ec2-4582-98c2-c532f9a0e18e",,"US 90 at Noland Street","{""lng"":-85.22107656,""lat"":30.77388298}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"ca19178f-b151-4097-bc14-bdb01cb301c7",,"US 98 and Beal Pkwy SW","{""lng"":-86.61324196,""lat"":30.40413596}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING;MOBILITY_REPORTS","GOOD","","TrafficLink"
"31eb03f0-206b-4424-a412-e955c45054df",,"US 98 and Doolittle Blvd","{""lng"":-86.66479835,""lat"":30.40971784}",true,"Ingram Signalization Inc.","","",0,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF","TrafficLink"
"8945fcf7-f915-4267-8762-551bfb1a87f8",,"US 98 and Mary Esther Blvd","{""lng"":-86.65573837,""lat"":30.40939864}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING;MOBILITY_REPORTS","CRITICAL","POWER_OFF","TrafficLink"
"d28e43d9-47f0-49ce-bffe-1dd32c78442f",,"US 98;US 319 and Island Dr","{""lng"":-84.88800795,""lat"":29.73618779}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360;THIRD_PARTY_CAMERA",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"2891ece5-cac8-4607-9b63-1f895da6ccf3",,"US HWY 90 and Parkmore Plaza/Jaimee Leigh Dr","{""lng"":-87.0654675,""lat"":30.6054571}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"f700fb0d-6fd8-4bcb-a1be-8b55fbcc52d7",,"West Tennessee Street and Block Ct","{""lng"":-84.33209237,""lat"":30.45004098}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING;MOBILITY_REPORTS","CRITICAL","POWER_OFF","TrafficLink"
"73f6bf9c-da61-4f39-ad4d-c7239a164b2e",,"White Avenue and Cotton Street","{""lng"":-85.51670908,""lat"":30.96253293}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"16df97ef-fc9c-4fcc-8dd0-6e09ce8d080e",,"White Drive and West Tennessee Street","{""lng"":-84.32615995,""lat"":30.44704135}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF","TrafficLink"
"db6b26c6-c75d-4105-b64a-610307db0d28",,"Wynn Street and SR 90","{""lng"":-85.23179,""lat"":30.775457}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
